"time","p01","estimator"
822.05,0.0316798758505889,"Semi"
822.85,0.0316798758505889,"Semi"
823.65,0.0316798758505889,"Semi"
824.45,0.0316798758505889,"Semi"
825.25,0.0316798758505889,"Semi"
826.05,0.0316798758505889,"Semi"
826.85,0.0316798758505889,"Semi"
827.65,0.0316798758505889,"Semi"
828.45,0.0316798758505889,"Semi"
829.25,0.0316798758505889,"Semi"
830.05,0.0316798758505889,"Semi"
830.85,0.0316798758505889,"Semi"
831.65,0.0316798758505889,"Semi"
832.45,0.0316798758505889,"Semi"
833.25,0.0316798758505889,"Semi"
834.05,0.0316798758505889,"Semi"
834.85,0.0316798758505889,"Semi"
835.65,0.0316798758505889,"Semi"
836.45,0.0316798758505889,"Semi"
837.25,0.0416298655624829,"Semi"
838.05,0.0410328661797693,"Semi"
838.85,0.0408338663855314,"Semi"
839.65,0.0400378672085799,"Semi"
840.45,0.0400378672085799,"Semi"
841.25,0.0400378672085799,"Semi"
842.05,0.0396398676201041,"Semi"
842.85,0.0392418680316283,"Semi"
843.65,0.0392418680316283,"Semi"
844.45,0.0392418680316283,"Semi"
845.25,0.0390428682373905,"Semi"
846.05,0.0390428682373905,"Semi"
846.85,0.0390428682373905,"Semi"
847.65,0.0390428682373905,"Semi"
848.45,0.0390428682373905,"Semi"
849.25,0.0390428682373905,"Semi"
850.05,0.0390428682373905,"Semi"
850.85,0.0388438684431526,"Semi"
851.65,0.0386448686489147,"Semi"
852.45,0.0386448686489147,"Semi"
853.25,0.0384458688546768,"Semi"
854.05,0.0384458688546768,"Semi"
854.85,0.0384458688546768,"Semi"
855.65,0.0382468690604389,"Semi"
856.45,0.0382468690604389,"Semi"
857.25,0.0381158536913283,"Semi"
858.05,0.0381158536913283,"Semi"
858.85,0.0381158536913283,"Semi"
859.65,0.0381158536913283,"Semi"
860.45,0.0381158536913283,"Semi"
861.25,0.0379168538970905,"Semi"
862.05,0.0377178541028526,"Semi"
862.85,0.0377178541028526,"Semi"
863.65,0.0377178541028526,"Semi"
864.45,0.0377178541028526,"Semi"
865.25,0.0377178541028526,"Semi"
866.05,0.0377178541028526,"Semi"
866.85,0.0377178541028526,"Semi"
867.65,0.0377178541028526,"Semi"
868.45,0.0377178541028526,"Semi"
869.25,0.0375188543086147,"Semi"
